prec_smooth1960,tavg_smooth1960,dday28C_smooth1960,dday29C_smooth1960,prec_smooth1970,tavg_smooth1970,dday28C_smooth1970,dday29C_smooth1970,prec_smooth1980,tavg_smooth1980,dday28C_smooth1980,dday29C_smooth1980,prec_smooth1990,tavg_smooth1990,dday28C_smooth1990,dday29C_smooth1990,prec_smooth2000,tavg_smooth2000,dday28C_smooth2000,dday29C_smooth2000,Cluster
64.85569,24.030661,167.17215,118.00338,61.320923,23.947968,156.8671,109.69705,66.946632,24.023209,159.10042,112.42293,64.532051,23.640768,146.55151,101.80995,57.087627,24.229784,173.98695,124.29449,1
93.78624,24.550625,141.8213,93.633011,81.014442,24.874575,158.58461,107.33743,97.862572,24.865362,152.68285,103.27318,93.206871,24.358032,126.02297,81.374031,87.592659,25.157261,172.37247,117.91405,1
67.081459,23.961044,161.13676,112.43176,63.725071,23.934336,154.6498,107.53691,62.591663,24.018715,161.02492,113.94364,63.034801,23.72961,145.23422,100.50854,59.92144,23.950411,163.755,115.62376,1
61.882545,23.265858,151.37463,106.42482,67.863609,23.234333,141.07484,97.709435,70.317184,23.431904,157.02837,112.2794,67.188812,23.117323,131.59299,90.371895,59.424465,23.946259,171.34038,122.73243,1
62.940414,22.20636,119.89288,81.790268,66.359184,22.147327,103.30756,68.263245,69.835373,22.490761,126.91616,89.23851,67.535439,21.99155,90.929787,60.088005,64.639816,23.015505,132.98453,92.113945,1
65.618332,23.532827,146.55136,100.81219,62.464462,23.473875,136.49614,93.316895,63.154015,23.62829,145.75816,101.64043,66.483353,23.392553,140.16556,97.483925,58.653622,23.880308,162.4818,115.33759,1
70.904251,24.08931,169.09172,119.13712,64.373703,24.015081,166.88573,117.95214,70.441048,24.052479,168.97418,120.70655,70.323296,23.739927,152.42479,106.24867,63.584389,24.358658,183.43242,131.5981,1
60.061802,22.296576,124.83009,85.288322,62.466095,22.09646,100.11462,65.548851,68.957001,22.54142,127.68766,89.372063,64.222282,21.983957,87.180145,56.557304,58.269703,22.76528,122.88792,83.985207,1
63.815155,22.91995,136.29811,93.329323,67.65374,22.751825,116.65864,78.172401,64.709938,22.951517,137.71225,96.316605,68.769157,22.681067,122.49676,84.150482,56.727867,23.095257,148.60869,105.56853,1
60.487625,22.417072,128.91217,88.901894,63.114693,22.22139,103.29604,68.255333,69.323677,22.501314,127.59052,89.979584,69.724709,21.994032,93.121429,61.905792,62.577854,22.784512,126.30756,87.188934,1
64.95224,23.183115,135.72588,92.760063,65.477188,23.206795,130.49673,88.796341,69.949165,23.285637,140.02449,97.955147,64.539185,22.887733,115.35511,77.365623,60.87418,23.520027,144.59421,100.92162,1
74.331017,23.845058,176.54938,126.68655,62.62439,23.903833,171.07861,122.12343,73.413452,24.055925,185.23575,135.20978,71.711945,23.638674,148.48515,103.13533,59.884418,24.235085,185.23462,133.7196,1
77.317314,24.08416,176.79727,125.98792,62.915337,24.243536,189.17041,136.80002,79.333542,24.253328,190.40349,139.04272,73.156273,23.64888,143.40878,98.789925,68.344673,24.467648,189.68277,136.58551,1
64.759483,21.828632,87.677834,54.970367,65.968895,21.607883,68.633392,41.086037,69.178017,21.890488,90.007851,58.77713,65.830597,21.477577,66.607597,40.878677,60.740799,22.175161,91.275124,58.943272,0
63.833256,21.866701,103.06033,67.387756,61.41832,21.651371,85.420197,54.102161,67.302986,22.04348,110.44807,75.339729,63.986916,21.626654,76.672859,48.102413,61.338352,22.249477,103.89625,69.190666,0
74.415398,24.312536,162.00316,111.82779,69.322296,24.387688,170.60559,119.68275,73.302132,24.389385,168.77838,119.42709,70.877441,23.939022,145.96912,100.0827,66.927132,24.395992,175.19638,123.93296,1
58.895893,22.326483,121.95843,83.852371,68.070145,22.422497,121.18141,83.505714,68.903442,22.485302,126.55351,89.527184,71.455658,22.335436,120.83627,84.580948,57.969891,23.029774,138.35954,97.020523,1
80.047676,23.966328,159.15211,110.51376,69.379219,24.062815,171.70096,121.54506,76.327179,24.149885,171.53889,122.34966,79.096931,23.480452,130.95456,88.390747,71.429337,24.315002,178.52855,126.93363,1
62.942333,22.663668,126.66885,85.954727,67.083588,22.509329,107.70473,71.107895,69.356483,22.799433,126.45719,87.249374,66.180206,22.300097,96.244614,62.90527,59.378288,22.986147,129.52728,88.94429,1
80.261681,24.099874,165.61467,115.5182,71.207558,24.152454,174.04922,123.2213,76.15963,24.1031,171.05489,121.77673,78.921135,23.689064,148.37646,102.38947,71.969032,24.340252,189.67828,136.67377,1
71.206123,23.838095,161.173,112.70365,66.203323,23.89617,170.69212,121.61061,68.932999,23.882378,169.4174,121.56465,69.871429,23.563311,154.64124,108.70042,64.416931,24.113575,181.54132,130.84421,1
66.534264,22.092367,113.79538,76.95784,68.235764,21.887888,91.857376,59.104694,71.301506,22.169783,118.92665,83.08403,71.493805,21.705877,89.94339,59.956997,66.626976,22.931963,138.25986,96.88781,1
71.317474,24.445082,171.42284,119.67744,68.840187,24.491299,175.62431,123.80741,68.704575,24.540764,174.27332,124.04868,64.968102,24.170372,162.88942,114.09542,61.64043,24.368956,186.18118,133.87852,1
63.887276,23.978035,163.04803,114.94407,60.150818,24.016586,161.37523,113.5537,67.654434,23.92404,166.15225,119.25201,61.610035,23.616062,141.50984,97.5457,58.647961,24.262653,174.12057,124.30004,1
63.314373,21.542795,80.448303,50.257286,65.278648,21.436474,63.03352,37.336166,66.030418,21.490595,84.211716,55.995533,69.504036,21.033667,60.726788,38.102825,62.537266,21.946241,85.474205,55.029308,0
63.704075,23.644623,152.36992,105.75006,62.995499,23.509993,139.20654,95.494934,63.466633,23.647684,149.52299,104.99168,65.763962,23.248625,130.14987,88.992111,55.376438,23.833694,160.26535,113.31423,1
87.328407,24.143417,156.77295,107.81734,73.278946,24.42281,179.22562,126.82162,83.763832,24.467394,174.18344,123.50803,86.962303,23.848629,136.35768,91.777107,75.79895,24.687157,186.89812,132.84578,1
61.355942,22.322247,115.07308,77.415939,64.758369,22.237579,95.385986,61.494534,67.726463,22.494425,120.29174,83.61087,66.465691,21.98126,86.643257,56.676136,61.638012,22.863054,123.32186,84.432724,1
62.723946,22.35313,135.64143,95.035278,67.704453,22.321409,125.40878,86.485619,69.502953,22.732128,147.42975,106.09029,70.104317,22.224171,127.46176,89.211952,65.025192,23.180405,159.38554,114.83627,1
63.151604,22.048038,111.17298,74.942451,68.463058,22.013083,103.53084,68.905373,71.45919,22.214567,115.46486,80.274017,73.441803,21.888964,98.84449,66.834007,63.801136,22.766535,128.34106,89.010498,1
76.544998,24.452864,169.42313,117.70512,68.887909,24.544855,179.59254,126.84085,74.020615,24.510094,175.8752,125.24093,74.201088,24.173916,160.16153,111.60963,68.321159,24.483749,184.78746,131.99487,1
58.570534,23.622925,158.84953,112.2138,60.96941,23.651815,153.70581,108.02993,66.05172,23.871681,174.21097,126.50661,65.106117,23.535894,149.41115,104.67328,54.052895,24.24519,182.77596,132.32436,1
61.31485,23.757393,163.75287,116.27268,61.261765,23.741938,159.52835,113.02632,65.075539,23.945053,180.43292,131.92888,65.575378,23.657402,159.79539,113.596,53.827103,24.474167,189.27275,137.58351,1
70.714981,24.361132,173.95995,122.17928,69.786186,24.459101,179.32111,127.14133,67.718567,24.547228,178.66725,127.93242,62.127151,24.203337,170.46169,120.63852,59.49575,24.305,194.32028,141.483,1
72.930374,24.660931,177.78149,124.25082,68.428093,24.712885,183.49698,129.60274,70.060654,24.661957,178.46078,126.96391,68.379555,24.447256,175.76825,124.3596,62.768909,24.58481,194.28053,140.09615,1
63.995041,21.47983,87.966995,56.321449,64.353195,21.42594,73.197258,45.133518,65.730476,21.574394,90.244987,60.268398,71.045418,21.17058,72.521759,47.105705,65.72258,22.022799,97.145599,64.018105,0
61.929489,22.879122,142.23732,99.47168,66.635056,22.819897,125.95848,85.872978,69.676918,23.120667,150.4287,107.64232,65.863586,22.6485,117.44841,79.995628,66.681442,23.663774,165.31256,118.39765,1
63.416363,22.520523,142.97952,101.02396,69.432198,22.531982,134.03802,93.478775,70.825142,22.909185,151.09241,108.96245,70.950241,22.308994,126.29071,87.909607,64.944656,23.355375,167.62224,121.79037,1
60.302959,22.08951,114.70934,77.936508,67.021172,22.172199,115.66837,79.150879,69.252281,22.234077,121.57929,85.309296,72.338707,21.975,110.25274,76.22364,59.989708,22.704636,129.56198,90.062721,1
61.223156,22.505997,124.42065,85.44313,65.267303,22.509394,114.83242,77.549301,68.472244,22.574108,125.11474,87.730164,69.637589,22.378143,114.36568,78.98896,60.18914,23.228109,144.74036,101.99749,1
65.367729,23.229713,142.97633,98.467674,67.212959,23.180031,129.9678,88.395889,63.59259,23.479429,150.67993,106.46358,68.526337,23.048157,123.11189,83.887131,52.996143,23.551996,148.07027,103.76702,1
62.294312,22.102715,112.17428,75.778847,62.657787,22.117609,102.16814,67.571907,68.268661,22.157953,111.39706,76.395325,68.301079,21.904688,101.15641,69.135361,60.829647,22.746717,129.16998,89.800148,1
